Score,Height_cm,Rating,Fruit,Group,IsActive,Score_mean_filled,Score_median_filled,Fruit_mode_filled,Group_filled,Group_label,Fruit_apple,Fruit_banana,Fruit_grape,Fruit_nan,Height_cm_clean,Rating_clean,Score_minmax,Score_standard,Height_cm_filled_for_scaling,Height_minmax
-1.0856306033005612,,2.0,banana,D,Yes,-1.0856306033005612,-1.0856306033005612,banana,D,3,0,1,0,0,,2.0,0.34661311203832706,-1.145410510168185,29.244866854217456,0.4818018308934416
0.9973454465835858,16.480033632478424,5.0,apple,A,No,0.9973454465835858,0.9973454465835858,apple,A,0,1,0,0,0,16.480033632478424,5.0,0.6831371160523231,1.0884612379679117,16.480033632478424,0.16215006660758247
0.28297849805199204,49.244710931099114,,banana,B,No,0.28297849805199204,0.28297849805199204,banana,B,1,0,1,0,0,49.24471093109912,,0.5677245428407958,0.3223438626789939,49.24471093109912,0.9826297957844985
-1.506294713918092,,Rating: 3.0,grape,D,nan,-1.506294713918092,-1.506294713918092,grape,D,3,0,0,1,0,,3.0,0.27865094278637065,-1.596548521195996,29.244866854217456,0.4818018308934416
-0.5786002519685364,31.599083317303908,,banana,C,No,-0.5786002519685364,-0.5786002519685364,banana,C,2,0,1,0,0,31.599083317303908,,0.42852854452559275,-0.6016496842330402,31.599083317303908,0.5407551625088372
1.651436537097151,,1.0,grape,C,Yes,1.651436537097151,1.651436537097151,grape,C,2,0,0,1,0,,1.0,0.7888115681333967,1.7899362299089145,29.244866854217456,0.4818018308934416
-2.426679243393074,45.22428568706372,3.0,grape,B,No,-2.426679243393074,-2.426679243393074,grape,B,1,0,0,1,0,45.22428568706372,3.0,0.1299543280995692,-2.583607876933692,45.22428568706372,0.8819519412359031
-0.42891262885617726,25.652659700690286cm,3.0,apple,B,No,-0.42891262885617726,-0.42891262885617726,apple,B,1,1,0,0,0,25.65265970069029,3.0,0.4527119614611407,-0.4411183366282797,25.65265970069029,0.3918472396850177
1.265936258705534,36.253727839177266cm,5.0,apple,B,No,1.265936258705534,1.265936258705534,apple,B,1,1,0,0,0,36.25372783917727,5.0,0.7265304404938961,1.3765094020557904,36.25372783917727,0.6573148783856129
-0.8667404022651017,,Rating: 2.0,grape,A,nan,-0.8667404022651017,-0.8667404022651017,grape,A,0,0,0,1,0,,2.0,0.38197684408698807,-0.9106633866647059,29.244866854217456,0.4818018308934416
-0.6788861516220543,23.078727432918583cm,5.0,apple,B,No,-0.6788861516220543,-0.6788861516220543,apple,B,1,1,0,0,0,23.078727432918583,5.0,0.4123264319283669,-0.7092005310057938,23.078727432918583,0.32739187420916244
-0.09470896893689112,17.175606986186637,5.0,apple,A,nan,-0.09470896893689112,-0.09470896893689112,apple,A,0,1,0,0,0,17.175606986186637,5.0,0.5067056469854775,-0.08270417528499367,17.175606986186637,0.17956833176159998
1.4913896261242878,28.672395098479146,2.0,apple,A,No,1.4913896261242878,1.4913896261242878,apple,A,0,1,0,0,0,28.672395098479143,2.0,0.7629545126412535,1.6182951431961712,28.672395098479143,0.4674662259116285
